Cluster,Size,Size_Pct,Delinquency_Rate,Avg_Age,Avg_Income,Avg_Loan_Amount,Avg_Payment_Ratio
Cluster 1,221,22.1,35.74660633484163,31.647058823529413,45819.117647058825,231343.5975565611,0.5733291355251771
Cluster 2,306,30.599999999999998,14.052287581699346,31.176470588235293,19010.74836601307,128848.98091503266,4961.54434362656
Cluster 3,147,14.7,65.98639455782312,31.346938775510203,1486.1360544217687,253272.43829931977,21382.642996070204
Cluster 4,227,22.7,75.33039647577093,30.462555066079297,29732.44052863436,145191.45665198236,2633.526433913273
Cluster 5,99,9.9,100.0,29.454545454545453,28299.31313131313,182577.29565656566,4303.974069450652
